drug_name,parameter,value,unit,context
midazolam,bioavailability,36.0,%,"each of the three doses. The absolute bioavailability of the midazolam HCl syrup in pediatric patients is about 36%, which is not affected by ped"
fluconazole,cmax,6.72,,f fluconazole leads to a mean C max of 6.72 mcg/mL (range: 4.12 to 8.08 mcg/mL)
fluconazole,t_half,30.0,hours,a terminal plasma elimination half-life of approximately 30 hours (range: 20 to 50 hours) after
fluconazole,vd,9.0,L/kg,f-life (Hours) C max (mcg/mL) Vdss (L/kg) 9 months to 13 years Single-Ora
losartan,cmax,224.0,ng/mL,5 ± 452 368 ± 169 1866 ± 1076 C MAX (ng/mL) 224 ± 82 212 ± 73 141 ± 88 222 ±
losartan,t_half,2.0,hours,"n, respectively. The terminal half-life of losartan is about 2 hours and of the metabolite is abou"
losartan,vd,34.0,L,"e over time. Distribution The volume of distribution of losartan and the active metabolite is about 34 liters and 12 liters, respectively."
losartan,clearance,600.0,mL/min,"etabolites. Elimination Total plasma clearance of losartan and the active metabolite is about 600 mL/min and 50 mL/min, respectively,"
losartan,bioavailability,33.0,%,pass metabolism. The systemic bioavailability of losartan is approximately 33%. Mean peak concentrations of
losartan,protein_binding,1.3,%,"active metabolite are highly bound to plasma proteins, primarily albumin, with plasma free fractions of 1.3% and 0.2%, respectively. Plasm"
hydroxychloroquine,cmax,129.6,,hole blood hydroxychloroquine Cmax was 129.6 ng/mL (plasma C max was 50.3 ng/mL)
hydroxychloroquine,t_half,40.0,days,200 mg tablet demonstrated a half-life of hydroxychloroquine about 40 days in whole blood. Following chr
hydroxychloroquine,tmax,3.3,hours,ma C max was 50.3 ng/mL) with T max of 3.3 hours (plasma T max 3.7 hours). Pea
hydroxychloroquine,bioavailability,79.0,%,oxychloroquine. Mean absolute oral bioavailability is 79% (SD: 12%) in fasting conditio
atenolol,t_half,6.0,hours,"nt variation. The elimination half-life of oral atenolol is approximately 6 to 7 hours, and there is no alteration o"
olanzapine,t_half,21.0,hours,he clinical dosing range. Its half-life ranges from 21 to 54 hours (5th to 95th percentile; mean
olanzapine,vd,1000.0,L,"d throughout the body, with a volume of distribution of approximately 1000 L. It is 93% bound to plasma pr"
olanzapine,protein_binding,93.0,%,f approximately 1000 L. It is 93% bound to plasma proteins over the concentration range
lorazepam,t_half,12.0,hours,"roximately 20 ng/mL. The mean half-life of unconjugated lorazepam in human plasma is about 12 hours and for its major metabolite,"
lorazepam,bioavailability,90.0,%,m is readily absorbed with an absolute bioavailability of 90%. Peak concentrations in plasm
lorazepam,protein_binding,85.0,%,"s, lorazepam is approximately 85% bound to plasma proteins. Lorazepam is rapidly conjuga"
warfarin,t_half,20.0,hours,"week; however, the effective half-life ranges from 20 to 60 hours, with a mean of about 40 hour"
warfarin,vd,0.14,L/kg,Distribution Warfarin shows a volume of distribution of about 0.14 L/kg. Approximately 99% of the
furosemide,t_half,2.0,hours,fer among doses. The terminal half-life of furosemide is approximately 2 hours. Significantly more furosemid
diazepam,t_half,1.0,hours,"tial distribution phase has a half-life of approximately 1 hour, although it may range up to"
cyclosporine,t_half,8.4,hours,"lly biphasic, with a terminal half-life of approximately 8.4 hours (range 5 to 18 hours). Follow"
cyclosporine,vd,3.49,L/kg,is session resulted in a mean volume of distribution (Vdss) of 3.49 L/kg and systemic clearance (CL
cyclosporine,clearance,0.369,L/h,ution (Vdss) of 3.49 L/kg and systemic clearance (CL) of 0.369 L/hr/kg. This systemic CL (0.369 L/hr
cyclosporine,bioavailability,43.0,%,"nts aged 1.4 to 10 years, the absolute bioavailability of cyclosporine capsules (modified) was 43% (range 30% to 68%) and for Sa"
cyclosporine,protein_binding,90.0,%,"ted. In plasma, approximately 90% is bound to proteins, primarily lipoproteins. Cycl"
carbamazepine,t_half,25.0,hours,"fixed dosing regimen. Initial half-life values range from 25 to 65 hours, decreasing to 12 to 17 hours"
carbamazepine,bioavailability,89.0,%,the conventional tablet. The bioavailability of the XR tablet was 89% compared to suspension. Follo
carbamazepine,protein_binding,76.0,%,ose.Carbamazepine in blood is 76% bound to plasma proteins. Plasma levels of Carbamazepi
carbamazepine,clearance,25.0,mL/min,repeated dosing. The apparent oral clearance following a single dose was 25 ± 5 mL/min and following multiple dosing
itraconazole,cmax,0.5,,"ed within about 15 days, with C max values of 0.5 μg/mL, 1.1 μg/mL and 2 μg/mL after"
itraconazole,t_half,16.0,hours,"., respectively. The terminal half-life of itraconazole generally ranges from 16 to 28 hours after single dose and increas"
itraconazole,clearance,278.0,mL/min,ment. Itraconazole mean total plasma clearance following intravenous administration is 278 mL/min. Itraconazole clearance decre
itraconazole,bioavailability,55.0,%,e dose. The observed absolute oral bioavailability of itraconazole is about 55%. The oral bioavailability of
itraconazole,auc,15.6,hr*mcg/ml,e daily (2 × 100 mg Capsules) AUC 0-tau (hr*mcg/ml) 15.6 ± 3.7 14.9 ±3.8 C trough (mcg
clonazepam,clearance,0.42,mL/min/kg,"RAINDICATIONS ). In children, clearance values of 0.42 ± 0.32 mL/min/kg (ages 2 to 18 years) and 0.88"
clonazepam,bioavailability,90.0,%,fter oral administration. The absolute bioavailability of clonazepam is about 90%. Maximum plasma concentration
clonazepam,protein_binding,85.0,%,. Clonazepam is approximately 85% bound to plasma proteins. Clonazepam is highly metabol
oxazepam,t_half,8.2,hours,dosing. The mean elimination half-life for oxazepam was approximately 8.2 hours (range 5.7 to 10.9 hours). Th
ciprofloxacin,cmax,2.97,mcg/mL,13.7 * 12.7 * 31.6 * 32.9 ** C max (mcg/mL) 2.97 4.56 3.59 4.07 * AUC 0–12h x
ciprofloxacin,auc,250.0,mcg•hr/mL,ects Dose (mg) C max (mcg/mL) AUC (mcg•hr/mL) 250 1.2 4.8 500 2.4 11.6 750 4.3
ciprofloxacin,t_half,4.0,hours,tively. The serum elimination half-life in subjects with normal renal function is approximately 4 hours. Serum concentrations increas
ciprofloxacin,clearance,300.0,mL/min,"in 24 hours after dosing. The renal clearance of ciprofloxacin, which is approximately 300 mL/minute, exceeds the normal glomer"
ciprofloxacin,bioavailability,70.0,%,armacokinetics Absorption The absolute bioavailability of ciprofloxacin when given as an oral tablet is approximately 70% with no substantial loss by f
digoxin,t_half,1.5,days,"renal function, digoxin has a half-life of 1.5 to 2 days. The half-life in anuric pati"
digoxin,bioavailability,70.0,%,"ents and in adult volunteers, absolute bioavailability of digoxin from the solution formulation is 70% to 85%, similar to that seen"
morphine,t_half,2.0,hours,in/kg. The effective terminal half-life of morphine sulfate after IV administration is reported to be approximately 2 hours. In some studies involving lo
morphine,protein_binding,36.0,%,"/kg after intravenous dosage. Protein binding is low, about 36%, and muscle tissue binding is"
phenytoin,t_half,10.0,hours,cement. Elimination The serum half-life in man after intravenous administration ranges from 10 to 15 hours. Metabolism Phenytoin is meta
gabapentin,t_half,5.0,hours,umans. Gabapentin elimination half-life is 5 to 7 hours and is unaltered by dose or f
gabapentin,clearance,225.0,mL/min,"20-80 years of age. Apparent oral clearance (CL/F) of gabapentin decreased as age increased, from about 225 mL/min in those under 30 years of ag"
gabapentin,bioavailability,60.0,%,"; i.e., as dose is increased, bioavailability decreases. Bioavailability of gabapentin is approximately 60%, 47%, 34%, 33%, and 27% follo"
